reports,event_date
198,5/10/2022
186,5/11/2022
203,5/12/2022
204,5/13/2022
223,5/14/2022
221,5/15/2022
208,5/16/2022
200,5/17/2022
155,5/18/2022
190,5/19/2022
188,5/20/2022
203,5/21/2022
215,5/22/2022
194,5/23/2022
204,5/24/2022
163,5/25/2022
162,5/26/2022
181,5/27/2022
237,5/28/2022
234,5/29/2022
228,5/30/2022
181,5/31/2022
255,6/1/2022
227,6/2/2022
195,6/3/2022
213,6/4/2022
218,6/5/2022
186,6/6/2022
198,6/7/2022
166,6/8/2022
191,6/9/2022
209,6/10/2022
192,6/11/2022
191,6/12/2022
187,6/13/2022
184,6/14/2022
173,6/15/2022
166,6/16/2022
243,6/17/2022
223,6/18/2022
211,6/19/2022
175,6/20/2022
169,6/21/2022
179,6/22/2022
204,6/23/2022
179,6/24/2022
225,6/25/2022
224,6/26/2022
210,6/27/2022
194,6/28/2022
169,6/29/2022
175,6/30/2022
314,7/1/2022
349,7/2/2022
369,7/3/2022
363,7/4/2022
220,7/5/2022
204,7/6/2022
224,7/7/2022
205,7/8/2022
239,7/9/2022
234,7/10/2022
208,7/11/2022
179,7/12/2022
193,7/13/2022
212,7/14/2022
184,7/15/2022
231,7/16/2022
203,7/17/2022
191,7/18/2022
171,7/19/2022
196,7/20/2022
176,7/21/2022
191,7/22/2022
190,7/23/2022
222,7/24/2022
197,7/25/2022
175,7/26/2022
182,7/27/2022
191,7/28/2022
217,7/29/2022
196,7/30/2022
218,7/31/2022
251,8/1/2022
180,8/2/2022
197,8/3/2022
177,8/4/2022
219,8/5/2022
202,8/6/2022
213,8/7/2022
187,8/8/2022
185,8/9/2022
211,8/10/2022
179,8/11/2022
198,8/12/2022
211,8/13/2022
204,8/14/2022
216,8/15/2022
167,8/16/2022
172,8/17/2022
185,8/18/2022
217,8/19/2022
219,8/20/2022
216,8/21/2022
167,8/22/2022
165,8/23/2022
177,8/24/2022
188,8/25/2022
188,8/26/2022
183,8/27/2022
175,8/28/2022
181,8/29/2022
182,8/30/2022
200,8/31/2022
227,9/1/2022
194,9/2/2022
221,9/3/2022
221,9/4/2022
185,9/5/2022
196,9/6/2022
174,9/7/2022
167,9/8/2022
196,9/9/2022
195,9/10/2022
199,9/11/2022
183,9/12/2022
174,9/13/2022
160,9/14/2022
208,9/15/2022
207,9/16/2022
176,9/17/2022
182,9/18/2022
184,9/19/2022
178,9/20/2022
201,9/21/2022
185,9/22/2022
216,9/23/2022
184,9/24/2022
198,9/25/2022
188,9/26/2022
192,9/27/2022
