reports,event_date
40,9/21/2022
39,9/22/2022
46,9/23/2022
33,9/24/2022
34,9/25/2022
52,9/26/2022
46,9/27/2022
29,9/28/2022
23,9/29/2022
28,9/30/2022
55,10/1/2022
32,10/2/2022
46,10/3/2022
34,10/4/2022
39,10/5/2022
44,10/6/2022
54,10/7/2022
44,10/8/2022
44,10/9/2022
40,10/10/2022
43,10/11/2022
24,10/12/2022
52,10/13/2022
34,10/14/2022
39,10/15/2022
30,10/16/2022
53,10/17/2022
31,10/18/2022
36,10/19/2022
27,10/20/2022
38,10/21/2022
33,10/22/2022
32,10/23/2022
34,10/24/2022
41,10/25/2022
38,10/26/2022
48,10/27/2022
31,10/28/2022
43,10/29/2022
34,10/30/2022
24,10/31/2022
53,11/1/2022
35,11/2/2022
39,11/3/2022
34,11/4/2022
31,11/5/2022
27,11/6/2022
44,11/7/2022
45,11/8/2022
27,11/9/2022
33,11/10/2022
24,11/11/2022
43,11/12/2022
34,11/13/2022
31,11/14/2022
29,11/15/2022
31,11/16/2022
36,11/17/2022
33,11/18/2022
31,11/19/2022
25,11/20/2022
39,11/21/2022
32,11/22/2022
43,11/23/2022
27,11/24/2022
27,11/25/2022
34,11/26/2022
31,11/27/2022
40,11/28/2022
48,11/29/2022
36,11/30/2022
29,12/1/2022
34,12/2/2022
32,12/3/2022
30,12/4/2022
23,12/5/2022
32,12/6/2022
33,12/7/2022
31,12/8/2022
39,12/9/2022
35,12/10/2022
36,12/11/2022
36,12/12/2022
34,12/13/2022
39,12/14/2022
41,12/15/2022
38,12/16/2022
32,12/17/2022
34,12/18/2022
43,12/19/2022
31,12/20/2022
44,12/21/2022
47,12/22/2022
21,12/23/2022
17,12/24/2022
14,12/25/2022
28,12/26/2022
29,12/27/2022
40,12/28/2022
33,12/29/2022
32,12/30/2022
25,12/31/2022
34,1/1/2023
35,1/2/2023
31,1/3/2023
33,1/4/2023
26,1/5/2023
36,1/6/2023
28,1/7/2023
25,1/8/2023
47,1/9/2023
41,1/10/2023
20,1/11/2023
21,1/12/2023
33,1/13/2023
32,1/14/2023
39,1/15/2023
24,1/16/2023
39,1/17/2023
26,1/18/2023
26,1/19/2023
41,1/20/2023
36,1/21/2023
27,1/22/2023
20,1/23/2023
26,1/24/2023
26,1/25/2023
20,1/26/2023
32,1/27/2023
45,1/28/2023
